175,Mycobacterium asiaticum,Queensland,Australia,1971,,
176,Mycobacterium bovis multiple drug-res,Brazil,1989,,,
177,Staphylococcus haemolyticus vanc-res,Albany,New York,1984,,
178,Staphylococcus haemolyticus multiple drug-res,New Delhi,1997,,,
179,Staphylococcus lugdunensis,Lyon,France,1988,,
180,Staphylococcus schleiferi,Lyon,France,1988,,
181,Stenotrophomonas maltophila,United Kingdom,1943,,,
182,Streptococcus pneumoniae pen-insensitive/res,Australia,1967,,,
183,Streptococcus pneumoniae multiple drug-res,South Africa,1977,,,
184,Streptococcus pyogenes group A,United States,1986,,,
185,Yersinia enterocolitica O:3,Switzerland,1949,,,
186,Yersinia enterocolitica O:5,27,Germany,1960,,
187,Yersinia enterocolitica O:9,Finland,1968,,,
188,Yersinia pestis,India,1994,,,
189,Yersinia pestis,New Mexico,1970,,,
190,Yersinia pestis,South Africa,1972,,,
191,Yersinia pestis,Al-Azzizat,Libya,1976,,
192,Yersinia pestis multiple drug-res,Province of Fianarantsoa,Madagascar,1995,,
193,Yersinia pestis,New Mexico,1990,,,
194,Candida albicans,US,1981,,,
195,Candida albicans ketoconazole-res,United States,1981,,,
196,Candida albicans fluconazole-res,UK,1985,,,
197,Candida albicans miconazole-res,United Kingdom,1977,,,
198,Candida glabrata fluconazole-res,United Kingdom,1988,,,
199,Candida krusei,United States,1977,,,
200,Candida tropicalis,United States,1974,,,
201,Coccidioides immitis,US,1990,,,
202,Cryptococcus neoformans,Lubumbashi,1950,,,
203,Fusarium moniliforme,Bethesda,MD,1978,,
204,Fusarium oxysporum,West Virginia,1972,,,
205,Fusarium solani,Kansas,1973,,,
206,Hansenula anomala,Liverpool,UK,1984,,
207,Histoplasma capsulatum,Indianapolis,1980,,,
208,Malassezia pachydermatis,Palo Alto,California,1984,,
209,Mycoplasma genitalium,London,1981,,,
210,Mycoplasma fermentans,Groningen,1950,,,
211,Penicillium marneffei,Soutih Carolina,1970,,,
212,Pneumocystis carinii,Denmark,1942,,,
213,Scedosporium inflatum,Farmington,Maine,1981,,
214,Scedosporium prolificans,Spain,1991,,,
215,Trichosporon beigelii,Durban,South Africa,1970,,
216,Wangiella dermatitidis,South Carolina,1980,,,
217,Anisakis simplex,Netherlands,1955,,,
218,Echinococcus granulosus,Bulgaria,1971,,,
219,Echinococcus granulosus,Tibet Autonomous Region,1990,,,
220,Echinococcus granulosus,Tibet Autonomous Region,1980,,,
221,Echinococcus granulosus,Neuquen; Chubut; Rio Negro,1999,,,
222,Loa loa,Guinea,1990,,,
223,Malassezia furfur,Cleveland,Ohio,1981,,
224,Schistosoma japonicum,Zhejiang; Fujian,China,1950,,
225,Schistosoma mansoni,Salalah,Oman,1999,,
226,Taenia solium,Sydney,New South Wales,1978,,
227,Trichinella spiralis,Italy; France,1975,,,
228,Trichinella spiralis,Argentina; China; Mexico,1970,,,
229,Wuchereria bancrofti,Egypt,1965,,,
230,Wuchereria bancrofti,Pondicherry,India,1981,,
231,Angiostronglus cantonensis,Taiwan,1945,,,
232,Babesia microti,US,1969,,,
233,Babesia divergens,Yugoslavia,1957,,,
234,Babesia microti-like,Croatia,1956,,,
235,Babesia microti-like WA1-type,US,1991,,,
236,Balamuthia mandrillaris,New York,1990,,,
237,Brachiola vesicularum,Czech Republic,1998,,,
238,Cryptosporidium parvum,Washington,1974,,,
239,Giardia duodenalis,Atlanta,Georgia,1975,,
240,Isospora belli,Florida,1981,,,
241,Leishmania donovani,Germany,1988,,,
242,Leishmania infantum,Spain; France; Portugal; Italy,1990,,,
243,Leishmania tropica,Saudi Arabia,1990,,,
244,Nosema connori,Japan,1973,,,
245,Plasmodium falciparum quinine-res,Thailand,1960,,,
246,Plasmodium falciparum chloroquine-res,Trujillo,Venezuela,1957,,
247,Plasmodium falciparum proguanil-res,Malaysia,1948,,,
248,Plasmodium falciparum sulfadoxine-pyrimethamin,Sa Kaeo,Thailand,1981,,
249,Plasmodium falciparum mefloquine-res,Trat,Thailand,1982,,
250,Plasmodium falciparum multiple drug-res,Thailand,1991,,,
251,Plasmodium vivax,South Korea,1993,,,
252,Plasmodium vivax,India,1964,,,
253,Plasmodium vivax chloroquine-res,Papua New Guinea,1989,,,
254,Toxoplasma gondii,Canada,Montreal; US,New York,New York; Texas; Illinois; Brussels; Haiti,1981
255,Trachipleistophora anthropophthera,Czech Republic,1998,,,
256,Trachipleistophora hominis,Sydney,New South Wales,1995,,
257,Trichomonas vaginalis metronidazole-res,Austria,1979,,,
258,Trichomonas vaginalis,Philadelphia,1964,,,
259,Trypanosoma brucei rhodiensis,Sudan,1970,,,
260,Alkhurma virus,Jeddah,Saudi Arabia,1995,,
261,Andes,El Bolson,Argentina,1995,,
262,Australian bat lyssavirus,Rockhampton,Australia,1996,,
263,B19 virus,London,1974,,,
264,Banna,Yunnan Province,1985,,,
265,Barmah forest,New South Wales,1985,,,
266,California Encephalitis,San Joaquin,California,USA,1945,
267,Chikungunya virus,Tanzania,1952,,,
268,Mycobacterium bovis,Canada,1964,,,
269,Mycobacterium bovis multiple drug-res,Madrid,1993,,,
270,Mycobacterium celatum,California,1989,,,
271,Mycobacterium chelonae,West Hartlepool,1966,,,
272,Mycobacterium conspicuum,Hannover,Land Niedersachsen,Germany,1995,
273,Chikungunya virus,West Kalimantan/Sumatra/Java Indonesia,1982,,,
274,Ebola virus,Cote D'Ivoire,1994,,,
275,Crimean-Congo Haemorrhagic Fever Virus,Crimea,Ukraine 1944,,,
276,Crimean-Congo Haemorrhagic Fever Virus,Kosovo,2001,,,
277,Dengue virus,Philippines,1954,,,
278,Enterovirus 70,Accra,Ghana,1969,,
279,Enterovirus 70,Delhi,India,1996,,
280,Enterovirus 71,Sarawak,Malaysia,1997,,
281,Enterovirus 71,California,USA,1974,,
282,European Tick Borne Encephalitis,Norway; Sweden; Denmark,Bornholm,1993,,
283,Far eastern tick-borne encephalitis,Japan,1993,,,
284,Guama,Brazil,1954,,,
285,Guanarito,Guanarito,1989,,,
286,Hantaan,China,1941,,,
287,Hantaan,North Korea,South Korea,1951,,
288,Hendra,Brisbane & Queensland,Australia,1994,,
289,Hepatitis B HBeAg-negative,variant with truncate,Italy and Greece,1989,,
290,Hepatitis B vaccine escape mutant,Italy,1990,,,
291,Hepatitis C,Maryland,1975,,,
292,Hepatitis E,Delhi,India,1955,,
293,Hepatitis G,Illinois,1964,,,
294,human astrovirus,Glasgow,1975,,,
295,human enterovirus B Echovirus type 13,Canary Islands,2000,,,
296,human Herpesvirus 1 Idoxuridine-res,USA,1963,,,
297,human Herpesvirus 1 Acyclovir-res,US,1980,,,
298,human Herpesvirus 3 acyclovir-res,New York,1986,,,
299,human Herpesvirus 5/CMV ganciclovir-res,Minneapolis,1989,,,
300,human Herpesvirus 5/CMV foscarnet-res,Milwaukee,1991,,,
301,human Herpesvirus 6,Philadelphia,1986,,,
302,human Herpesvirus 7,Newcastle upon Tyne,1990,,,
303,human Herpesvirus 7,Bethesda,1989,,,
304,human Herpesvirus 8,New York,1994,,,
305,human Immunodeficiency Virus,Kinshasa,1959,,,
306,human Immunodeficiency Virus 1,Haiti,1981,,,
307,human Immunodeficiency Virus 1 Dideoxycytidine,New Jersey,1990,,,
308,human Immunodeficiency Virus 1 Zidovudine-res,San Diego,1986,,,
309,human Immunodeficiency Virus 1 multi-dideoxynu,West Point,1994,,,
310,human Immunodeficiency Virus 2,Guinea Bissau,1960,,,
311,human papillomavirus,unspecified,1980,,,
312,human T-Lymphotropic Virus 2,Maryland,1979,,,
313,human T-Lymphotropic virus 1,Kyushu,1974,,,
314,Influenza A H5N1 Virus,Hong Kong,1997,,,
315,Inkoo virus,Russia,1971,,,
316,Jamestown Canyon virus,Wisconsin,1960,,,
317,Japanese Encephalitis Virus,Badu Island,Australia 1995,,,
318,Junin virus unspecified Argentine hemorrhagic fever,Peru,1958,,,
319,Kunjin virus,Victoria,1974,,,
320,Kyasanur forest disease virus,Karnataka,1957,,,
321,LaCrosse virus,Wisconsin,USA,1960,,
322,Laguna Negra virus,Chaco Region,Paraguay,1995,,
323,Lassa virus,Nigeria,1969,,,
324,Lassa virus,New Haven,Connecticut,1969,,
325,Machupo virus,El Beni,Bolivia,1959,,
326,Marburg virus,Wolfshausen,Land Hessen,1967,,
327,Mayaro virus,Trinidad,1954,,,
328,Measles virus,US,1980,,,
329,Menangle Virus,New South Wales,Australia,1997,,
330,Monkeypox virus,Democratic Republic of Congo,1970,,,
331,Monkeypox virus,Marshfield Wisconsin,US,2003,,
332,Murray Valley encephalitis virus,Mildura,Victoria,Australia,1950,
333,Nipah Virus,Ipoh,Perak,Malay Peninsula,1998,
334,Noroviruses GGIIb,Castell de Castells,Comunidad Valenciana; La Bisbal,Comunidad Autonom,2000,
335,Noroviruses new variant G II.4 2002 virus 1 1 0 0 Technology & industry Germany; Netherlands [319][320][351],,,,,
336,Norwalk virus,Norwalk,Ohio,1968,,
337,Omsk virus,Omsk District,Sarghat Region,West Siberia,Russia,1941
338,O'nyong-nyong virus,Uganda,Gulu,1955,,
339,Oropouche virus,Sangre Grande,County of Saint Andrew,Trinidad,1955,
340,Orungo virus,Nigeria,1976,,,
341,Picobirnavirus,Bahia,1984,,,
342,Poliovirus type 2,India,2003,,,
343,Rotavirus A,Australia Melborne,1973,,,
344,Rotavirus B,Australia Melborne,1973,,,
345,Rotavirus C Australia 1982,Royal Children's Hospital,Parkville,Melborne,Victoria,
346,Sabia virus Brazilian Hemorrhagic Fever,Belem,Brazil,1992,,
347,Venezuelan Equine Encephalitis virus,Trinidad,1943,,,
348,Venezuelan Equine Encephalitis virus,US,1943,,,
349,SARS Coronavirus,Foshan,Guangdong Shen,China,2002,
350,Seoul virus,Baltimore,US,1989,,
351,Sindbis virus,Uganda,1952,,,
352,Ockelbo virus,subtype of Sindbis,Ockelbo,Sweden,1960,
353,Ebola virus,Sudan,1976,,,
354,Tahyna virus,Czech Republic,1960,,,
355,Toscana virus,Toscana,Marche,Italy,1970,
356,Wesselsbron virus,Madagascar,1989,,,
357,West Nile Virus,Queens,NY,1999,,
358,Whitewater Arroyo virus,California,1999,,,
359,Yellow fever virus,Santander District,Colombia,1946,,
360,Yellow fever virus,Nuba Mountains,Sudan,1940,,
